ProductID,Name,Month,BottleSize,Category,Gender,Season,SoldInSeason,DiscountPercent,CostPerBottle,SellingPrice,QuantitySold
1,Le Male Elixir,July,50ml,Oriental,Him,Winter,0,29.27,230.58,450,14
17,Yara Candy,October,30ml,Fruity,Her,Summer,0,22.76,188.83,300,32
24,Ultra Male,April,30ml,Oriental,Him,Winter,0,11.13,187.84,300,31
3,Stronger With You Intensely,December,10ml,Fresh,Him,Winter,1,16.64,47.57,100,90
8,Silver Scent,June,3ml,Oriental,Him,All Seasons,1,4.19,17.17,30,174
13,Black Opium,July,100ml,Oriental,Him,Winter,0,4.57,299.44,600,13
23,Moon Sparkle,January,50ml,Gourmand,Her,Summer,0,23.06,264.63,450,30
17,Yara Candy,February,5ml,Fruity,Her,Summer,0,17.38,21.89,50,90
19,Good Girl,April,3ml,Oriental,Her,All Seasons,1,9.9,14.34,30,220
14,Khamra,December,100ml,Musk,Unisex,Winter,1,2.63,247.48,600,71
11,Lacoste White,April,3ml,Woody,Him,Summer,0,6.44,15.73,30,48
5,One Million,May,3ml,Woody,Him,All Seasons,1,4.63,12.04,30,177
21,Musk Pink,November,100ml,Fruity,Her,Summer,0,9.95,264.54,600,29
20,Musk Roman,April,30ml,Musk,Unisex,All Seasons,1,14.47,127.57,300,135
1,Le Male Elixir,October,30ml,Oriental,Him,Winter,0,2.83,123.07,300,28
18,Marshmallow,February,30ml,Fruity,Unisex,Winter,1,12.47,184.36,300,138
3,Stronger With You Intensely,February,50ml,Fresh,Him,Winter,1,18.95,196.55,450,99
18,Marshmallow,January,30ml,Fruity,Unisex,Winter,1,12.47,166.18,300,107
20,Musk Roman,February,50ml,Musk,Unisex,All Seasons,1,23.48,220.32,450,62
4,Zara Gold,August,50ml,Woody,Him,All Seasons,1,14.0,275.86,450,33
11,Lacoste White,February,5ml,Woody,Him,Summer,0,12.26,32.07,50,70
3,Stronger With You Intensely,August,30ml,Fresh,Him,Winter,0,24.83,182.73,300,34
14,Khamra,August,10ml,Musk,Unisex,Winter,0,11.43,50.64,100,28
23,Moon Sparkle,March,30ml,Gourmand,Her,Summer,0,21.81,194.92,300,40
2,Stronger With You,January,5ml,Fresh,Him,All Seasons,1,3.84,28.38,50,149
10,Invictus,February,100ml,Oriental,Him,Summer,0,13.1,241.9,600,46
24,Ultra Male,February,5ml,Oriental,Him,Winter,1,6.91,29.08,50,177
8,Silver Scent,July,5ml,Oriental,Him,All Seasons,1,6.0,20.44,50,168
4,Zara Gold,December,3ml,Woody,Him,All Seasons,1,10.64,12.07,30,157
12,Spicebomb,June,15ml,Woody,Him,Winter,0,19.93,54.04,130,61
13,Black Opium,August,10ml,Oriental,Him,Winter,0,21.67,41.46,100,85
16,Very Sexy,April,30ml,Fruity,Her,All Seasons,1,27.08,141.44,300,132
8,Silver Scent,February,10ml,Oriental,Him,All Seasons,1,0.22,46.95,100,69
23,Moon Sparkle,March,10ml,Gourmand,Her,Summer,0,8.44,61.56,100,56
13,Black Opium,June,10ml,Oriental,Him,Winter,0,21.67,52.6,100,60
7,Imperial Valley,November,5ml,Oriental,Him,Summer,0,9.37,28.26,50,65
24,Ultra Male,March,30ml,Oriental,Him,Winter,1,11.13,191.09,300,103
23,Moon Sparkle,December,3ml,Gourmand,Her,Summer,0,3.26,12.6,30,57
12,Spicebomb,August,100ml,Woody,Him,Winter,0,5.01,345.21,600,40
1,Le Male Elixir,May,5ml,Oriental,Him,Winter,0,13.17,23.13,50,71
15,Coconut Vanille,August,3ml,Musk,Unisex,Summer,1,3.54,16.08,30,202
14,Khamra,September,30ml,Musk,Unisex,Winter,0,18.91,144.2,300,48
4,Zara Gold,September,30ml,Woody,Him,All Seasons,1,5.84,146.06,300,56
16,Very Sexy,November,30ml,Fruity,Her,All Seasons,1,27.08,169.63,300,70
21,Musk Pink,August,10ml,Fruity,Her,Summer,1,28.13,41.7,100,169
3,Stronger With You Intensely,January,5ml,Fresh,Him,Winter,1,6.82,28.63,50,126
18,Marshmallow,May,100ml,Fruity,Unisex,Winter,0,14.82,243.16,600,26
4,Zara Gold,November,15ml,Woody,Him,All Seasons,1,23.35,64.03,130,140
18,Marshmallow,March,15ml,Fruity,Unisex,Winter,1,2.53,54.91,130,117
11,Lacoste White,June,5ml,Woody,Him,Summer,1,12.26,22.69,50,163
1,Le Male Elixir,July,50ml,Oriental,Him,Winter,0,29.27,258.18,450,39
24,Ultra Male,July,100ml,Oriental,Him,Winter,0,24.25,351.87,600,20
4,Zara Gold,November,30ml,Woody,Him,All Seasons,1,5.84,127.31,300,81
15,Coconut Vanille,July,50ml,Musk,Unisex,Summer,1,29.08,230.61,450,96
5,One Million,January,30ml,Woody,Him,All Seasons,1,9.77,146.94,300,76
23,Moon Sparkle,March,5ml,Gourmand,Her,Summer,0,20.17,31.63,50,47
18,Marshmallow,August,15ml,Fruity,Unisex,Winter,0,2.53,77.76,130,71
20,Musk Roman,October,10ml,Musk,Unisex,All Seasons,1,0.68,47.44,100,129
11,Lacoste White,August,10ml,Woody,Him,Summer,1,25.6,62.38,100,122
12,Spicebomb,September,50ml,Woody,Him,Winter,0,24.42,258.06,450,20
16,Very Sexy,March,50ml,Fruity,Her,All Seasons,1,13.67,264.07,450,101
19,Good Girl,February,15ml,Oriental,Her,All Seasons,1,17.63,75.04,130,147
21,Musk Pink,December,3ml,Fruity,Her,Summer,0,14.6,17.95,30,64
1,Le Male Elixir,July,10ml,Oriental,Him,Winter,0,25.76,49.96,100,64
16,Very Sexy,September,50ml,Fruity,Her,All Seasons,1,13.67,189.58,450,61
3,Stronger With You Intensely,December,30ml,Fresh,Him,Winter,1,24.83,167.29,300,84
7,Imperial Valley,March,15ml,Oriental,Him,Summer,0,24.14,64.99,130,72
20,Musk Roman,November,10ml,Musk,Unisex,All Seasons,1,0.68,57.92,100,162
7,Imperial Valley,May,100ml,Oriental,Him,Summer,1,20.47,269.34,600,60
20,Musk Roman,August,100ml,Musk,Unisex,All Seasons,1,2.48,320.37,600,54
12,Spicebomb,May,30ml,Woody,Him,Winter,0,12.19,161.09,300,68
6,Oud,March,100ml,Musk,Unisex,Winter,1,24.98,248.83,600,78
9,Black XS L'exces,November,5ml,Oriental,Him,Summer,0,17.06,22.23,50,48
13,Black Opium,May,5ml,Oriental,Him,Winter,0,2.7,26.33,50,39
19,Good Girl,January,30ml,Oriental,Her,All Seasons,1,5.12,151.39,300,77
15,Coconut Vanille,February,30ml,Musk,Unisex,Summer,0,7.98,181.34,300,73
23,Moon Sparkle,December,5ml,Gourmand,Her,Summer,0,20.17,24.49,50,143
21,Musk Pink,October,50ml,Fruity,Her,Summer,0,8.01,198.23,450,31
19,Good Girl,August,50ml,Oriental,Her,All Seasons,1,27.75,186.63,450,103
15,Coconut Vanille,October,5ml,Musk,Unisex,Summer,0,28.86,22.08,50,114
7,Imperial Valley,August,30ml,Oriental,Him,Summer,1,11.62,192.27,300,92
10,Invictus,November,100ml,Oriental,Him,Summer,0,13.1,341.74,600,23
3,Stronger With You Intensely,February,50ml,Fresh,Him,Winter,1,18.95,205.79,450,81
9,Black XS L'exces,January,10ml,Oriental,Him,Summer,0,4.19,48.99,100,44
23,Moon Sparkle,September,50ml,Gourmand,Her,Summer,1,23.06,213.64,450,27
11,Lacoste White,December,10ml,Woody,Him,Summer,0,25.6,59.2,100,49
3,Stronger With You Intensely,July,100ml,Fresh,Him,Winter,0,22.74,243.3,600,38
16,Very Sexy,December,100ml,Fruity,Her,All Seasons,1,6.07,262.17,600,64
24,Ultra Male,May,10ml,Oriental,Him,Winter,0,1.12,56.74,100,106
21,Musk Pink,September,30ml,Fruity,Her,Summer,1,14.2,142.87,300,39
7,Imperial Valley,July,100ml,Oriental,Him,Summer,1,20.47,362.29,600,85
11,Lacoste White,November,10ml,Woody,Him,Summer,0,25.6,47.31,100,76
13,Black Opium,August,50ml,Oriental,Him,Winter,0,15.03,200.41,450,33
6,Oud,June,15ml,Musk,Unisex,Winter,0,6.81,67.11,130,82
7,Imperial Valley,March,15ml,Oriental,Him,Summer,0,24.14,73.88,130,24
6,Oud,April,30ml,Musk,Unisex,Winter,0,20.09,193.79,300,63
24,Ultra Male,January,15ml,Oriental,Him,Winter,1,16.65,76.19,130,156
18,Marshmallow,February,30ml,Fruity,Unisex,Winter,1,12.47,172.37,300,128
21,Musk Pink,July,100ml,Fruity,Her,Summer,1,9.95,377.27,600,96
20,Musk Roman,January,5ml,Musk,Unisex,All Seasons,1,17.73,26.91,50,124
24,Ultra Male,June,5ml,Oriental,Him,Winter,0,6.91,22.17,50,73
3,Stronger With You Intensely,January,30ml,Fresh,Him,Winter,1,24.83,170.32,300,138
22,Elixir,February,100ml,Fresh,Him,Summer,0,16.62,274.93,600,28
2,Stronger With You,September,50ml,Fresh,Him,All Seasons,1,19.32,253.21,450,85
12,Spicebomb,January,10ml,Woody,Him,Winter,1,23.52,59.76,100,118
15,Coconut Vanille,May,50ml,Musk,Unisex,Summer,1,29.08,261.82,450,134
9,Black XS L'exces,March,100ml,Oriental,Him,Summer,0,16.96,337.67,600,45
4,Zara Gold,January,10ml,Woody,Him,All Seasons,1,26.79,57.44,100,171
5,One Million,March,3ml,Woody,Him,All Seasons,1,4.63,12.75,30,148
20,Musk Roman,February,100ml,Musk,Unisex,All Seasons,1,2.48,318.48,600,107
8,Silver Scent,January,5ml,Oriental,Him,All Seasons,1,6.0,30.97,50,107
8,Silver Scent,August,3ml,Oriental,Him,All Seasons,1,4.19,16.76,30,174
23,Moon Sparkle,February,10ml,Gourmand,Her,Summer,0,8.44,63.99,100,50
4,Zara Gold,December,50ml,Woody,Him,All Seasons,1,14.0,193.79,450,80
22,Elixir,June,50ml,Fresh,Him,Summer,1,4.21,265.77,450,67
23,Moon Sparkle,May,10ml,Gourmand,Her,Summer,1,8.44,59.47,100,145
15,Coconut Vanille,November,30ml,Musk,Unisex,Summer,0,7.98,160.18,300,34
4,Zara Gold,October,100ml,Woody,Him,All Seasons,1,1.31,320.87,600,41
4,Zara Gold,June,3ml,Woody,Him,All Seasons,1,10.64,15.08,30,185
7,Imperial Valley,December,100ml,Oriental,Him,Summer,0,20.47,296.22,600,26
14,Khamra,July,30ml,Musk,Unisex,Winter,0,18.91,160.56,300,48
4,Zara Gold,September,100ml,Woody,Him,All Seasons,1,1.31,350.16,600,56
11,Lacoste White,December,3ml,Woody,Him,Summer,0,6.44,12.07,30,70
3,Stronger With You Intensely,September,5ml,Fresh,Him,Winter,0,6.82,24.84,50,82
13,Black Opium,August,10ml,Oriental,Him,Winter,0,21.67,59.43,100,71
1,Le Male Elixir,August,50ml,Oriental,Him,Winter,0,29.27,285.68,450,50
18,Marshmallow,August,30ml,Fruity,Unisex,Winter,0,12.47,153.4,300,37
2,Stronger With You,December,10ml,Fresh,Him,All Seasons,1,13.51,62.59,100,109
5,One Million,September,5ml,Woody,Him,All Seasons,1,20.49,30.62,50,156
5,One Million,April,15ml,Woody,Him,All Seasons,1,29.03,79.86,130,92
20,Musk Roman,January,5ml,Musk,Unisex,All Seasons,1,17.73,31.99,50,185
2,Stronger With You,October,100ml,Fresh,Him,All Seasons,1,24.68,304.34,600,70
11,Lacoste White,June,50ml,Woody,Him,Summer,1,8.44,195.7,450,100
15,Coconut Vanille,May,50ml,Musk,Unisex,Summer,1,29.08,220.13,450,92
13,Black Opium,December,15ml,Oriental,Him,Winter,1,13.86,53.32,130,76
17,Yara Candy,February,30ml,Fruity,Her,Summer,0,22.76,141.76,300,48
20,Musk Roman,January,5ml,Musk,Unisex,All Seasons,1,17.73,26.57,50,130
10,Invictus,September,3ml,Oriental,Him,Summer,1,22.95,19.4,30,296
20,Musk Roman,December,5ml,Musk,Unisex,All Seasons,1,17.73,29.43,50,233
8,Silver Scent,October,15ml,Oriental,Him,All Seasons,1,23.61,63.03,130,70
24,Ultra Male,November,100ml,Oriental,Him,Winter,1,24.25,326.78,600,91
13,Black Opium,November,3ml,Oriental,Him,Winter,1,0.68,15.61,30,66
18,Marshmallow,September,10ml,Fruity,Unisex,Winter,0,19.5,56.78,100,91
22,Elixir,December,3ml,Fresh,Him,Summer,0,15.62,15.37,30,115
20,Musk Roman,May,15ml,Musk,Unisex,All Seasons,1,28.76,70.42,130,114
21,Musk Pink,September,100ml,Fruity,Her,Summer,1,9.95,264.3,600,36
13,Black Opium,February,3ml,Oriental,Him,Winter,1,0.68,19.48,30,130
2,Stronger With You,July,30ml,Fresh,Him,All Seasons,1,27.8,157.33,300,136
12,Spicebomb,April,5ml,Woody,Him,Winter,0,16.71,20.1,50,62
5,One Million,December,3ml,Woody,Him,All Seasons,1,4.63,12.83,30,204
22,Elixir,June,15ml,Fresh,Him,Summer,1,24.79,55.51,130,93
6,Oud,March,15ml,Musk,Unisex,Winter,1,6.81,67.26,130,110
6,Oud,July,100ml,Musk,Unisex,Winter,0,24.98,296.47,600,51
6,Oud,January,10ml,Musk,Unisex,Winter,1,14.27,52.78,100,139
16,Very Sexy,February,30ml,Fruity,Her,All Seasons,1,27.08,144.3,300,97
14,Khamra,June,5ml,Musk,Unisex,Winter,0,13.38,24.42,50,61
23,Moon Sparkle,August,30ml,Gourmand,Her,Summer,1,21.81,139.38,300,90
10,Invictus,July,50ml,Oriental,Him,Summer,1,0.92,196.72,450,73
7,Imperial Valley,January,10ml,Oriental,Him,Summer,0,24.97,60.07,100,89
2,Stronger With You,September,5ml,Fresh,Him,All Seasons,1,3.84,26.64,50,184
1,Le Male Elixir,January,15ml,Oriental,Him,Winter,1,20.92,78.22,130,101
9,Black XS L'exces,October,5ml,Oriental,Him,Summer,0,17.06,25.49,50,49
23,Moon Sparkle,January,30ml,Gourmand,Her,Summer,0,21.81,150.96,300,34
13,Black Opium,January,5ml,Oriental,Him,Winter,1,2.7,22.73,50,152
22,Elixir,July,30ml,Fresh,Him,Summer,1,26.88,172.44,300,165
3,Stronger With You Intensely,October,30ml,Fresh,Him,Winter,0,24.83,150.3,300,52
3,Stronger With You Intensely,October,100ml,Fresh,Him,Winter,0,22.74,309.7,600,27
21,Musk Pink,August,5ml,Fruity,Her,Summer,1,14.72,27.65,50,128
3,Stronger With You Intensely,March,100ml,Fresh,Him,Winter,1,22.74,253.17,600,83
2,Stronger With You,December,10ml,Fresh,Him,All Seasons,1,13.51,62.26,100,121
10,Invictus,January,5ml,Oriental,Him,Summer,0,19.04,31.93,50,54
23,Moon Sparkle,May,100ml,Gourmand,Her,Summer,1,3.23,338.79,600,60
17,Yara Candy,October,15ml,Fruity,Her,Summer,0,25.7,64.27,130,96
3,Stronger With You Intensely,August,15ml,Fresh,Him,Winter,0,1.91,78.1,130,56
21,Musk Pink,October,10ml,Fruity,Her,Summer,0,28.13,63.38,100,84
21,Musk Pink,October,5ml,Fruity,Her,Summer,0,14.72,27.15,50,92
20,Musk Roman,December,3ml,Musk,Unisex,All Seasons,1,10.41,15.71,30,274
22,Elixir,July,100ml,Fresh,Him,Summer,1,16.62,245.11,600,18
6,Oud,October,3ml,Musk,Unisex,Winter,0,5.68,13.96,30,81
24,Ultra Male,February,15ml,Oriental,Him,Winter,1,16.65,67.28,130,84
8,Silver Scent,March,5ml,Oriental,Him,All Seasons,1,6.0,26.05,50,101
20,Musk Roman,January,50ml,Musk,Unisex,All Seasons,1,23.48,181.39,450,141
14,Khamra,March,30ml,Musk,Unisex,Winter,1,18.91,124.34,300,105
19,Good Girl,February,3ml,Oriental,Her,All Seasons,1,9.9,18.5,30,174
16,Very Sexy,October,3ml,Fruity,Her,All Seasons,1,21.51,17.5,30,202
16,Very Sexy,June,5ml,Fruity,Her,All Seasons,1,13.48,31.18,50,95
15,Coconut Vanille,June,30ml,Musk,Unisex,Summer,1,7.98,172.83,300,163
19,Good Girl,August,3ml,Oriental,Her,All Seasons,1,9.9,13.6,30,294
18,Marshmallow,May,5ml,Fruity,Unisex,Winter,0,17.52,28.78,50,91
4,Zara Gold,July,15ml,Woody,Him,All Seasons,1,23.35,70.06,130,116
20,Musk Roman,January,5ml,Musk,Unisex,All Seasons,1,17.73,31.44,50,39
13,Black Opium,September,10ml,Oriental,Him,Winter,0,21.67,61.44,100,56
8,Silver Scent,November,10ml,Oriental,Him,All Seasons,1,0.22,59.26,100,52
13,Black Opium,January,10ml,Oriental,Him,Winter,1,21.67,47.23,100,98
24,Ultra Male,January,3ml,Oriental,Him,Winter,1,27.48,19.27,30,242
21,Musk Pink,February,10ml,Fruity,Her,Summer,0,28.13,60.68,100,83
21,Musk Pink,August,15ml,Fruity,Her,Summer,1,17.15,67.75,130,96
12,Spicebomb,October,10ml,Woody,Him,Winter,0,23.52,44.03,100,70
19,Good Girl,October,100ml,Oriental,Her,All Seasons,1,17.43,309.29,600,85
10,Invictus,October,10ml,Oriental,Him,Summer,0,16.61,44.6,100,64
17,Yara Candy,July,10ml,Fruity,Her,Summer,1,5.3,47.59,100,98
16,Very Sexy,September,5ml,Fruity,Her,All Seasons,1,13.48,32.36,50,218
6,Oud,April,30ml,Musk,Unisex,Winter,0,20.09,153.03,300,66
7,Imperial Valley,September,15ml,Oriental,Him,Summer,1,24.14,60.27,130,132
2,Stronger With You,March,3ml,Fresh,Him,All Seasons,1,23.58,17.83,30,96
4,Zara Gold,December,100ml,Woody,Him,All Seasons,1,1.31,330.05,600,70
11,Lacoste White,January,100ml,Woody,Him,Summer,0,8.81,311.62,600,36
12,Spicebomb,December,100ml,Woody,Him,Winter,1,5.01,301.13,600,56
4,Zara Gold,June,50ml,Woody,Him,All Seasons,1,14.0,227.76,450,98
11,Lacoste White,August,3ml,Woody,Him,Summer,1,6.44,16.15,30,302
15,Coconut Vanille,February,100ml,Musk,Unisex,Summer,0,23.36,331.83,600,22
6,Oud,April,10ml,Musk,Unisex,Winter,0,14.27,61.22,100,37
9,Black XS L'exces,November,100ml,Oriental,Him,Summer,0,16.96,251.89,600,16
9,Black XS L'exces,January,5ml,Oriental,Him,Summer,0,17.06,27.86,50,37
13,Black Opium,March,30ml,Oriental,Him,Winter,1,4.84,169.88,300,29
9,Black XS L'exces,August,15ml,Oriental,Him,Summer,1,3.44,67.84,130,163
18,Marshmallow,October,15ml,Fruity,Unisex,Winter,0,2.53,71.52,130,55
8,Silver Scent,June,10ml,Oriental,Him,All Seasons,1,0.22,58.51,100,149
11,Lacoste White,February,3ml,Woody,Him,Summer,0,6.44,12.96,30,77
10,Invictus,February,100ml,Oriental,Him,Summer,0,13.1,256.81,600,41
5,One Million,November,50ml,Woody,Him,All Seasons,1,11.11,264.95,450,96
17,Yara Candy,March,100ml,Fruity,Her,Summer,0,12.96,383.2,600,51
6,Oud,July,15ml,Musk,Unisex,Winter,0,6.81,81.06,130,43
8,Silver Scent,December,10ml,Oriental,Him,All Seasons,1,0.22,62.63,100,145
20,Musk Roman,May,30ml,Musk,Unisex,All Seasons,1,14.47,167.99,300,70
23,Moon Sparkle,January,10ml,Gourmand,Her,Summer,0,8.44,46.27,100,83
17,Yara Candy,October,100ml,Fruity,Her,Summer,0,12.96,316.85,600,34
22,Elixir,October,15ml,Fresh,Him,Summer,0,24.79,84.19,130,51
21,Musk Pink,August,30ml,Fruity,Her,Summer,1,14.2,152.88,300,85
12,Spicebomb,November,30ml,Woody,Him,Winter,1,12.19,151.44,300,77
19,Good Girl,October,10ml,Oriental,Her,All Seasons,1,3.1,52.15,100,131
8,Silver Scent,September,50ml,Oriental,Him,All Seasons,1,21.15,243.61,450,104
12,Spicebomb,May,15ml,Woody,Him,Winter,0,19.93,77.44,130,53
13,Black Opium,January,3ml,Oriental,Him,Winter,1,0.68,12.52,30,183
24,Ultra Male,September,10ml,Oriental,Him,Winter,0,1.12,43.49,100,38
21,Musk Pink,November,3ml,Fruity,Her,Summer,0,14.6,13.51,30,66
12,Spicebomb,September,50ml,Woody,Him,Winter,0,24.42,221.93,450,15
16,Very Sexy,August,30ml,Fruity,Her,All Seasons,1,27.08,186.27,300,91
5,One Million,September,100ml,Woody,Him,All Seasons,1,14.09,275.52,600,73
20,Musk Roman,April,15ml,Musk,Unisex,All Seasons,1,28.76,67.96,130,108
14,Khamra,February,100ml,Musk,Unisex,Winter,1,2.63,242.34,600,95
13,Black Opium,August,30ml,Oriental,Him,Winter,0,4.84,182.83,300,30
19,Good Girl,December,10ml,Oriental,Her,All Seasons,1,3.1,56.16,100,96
16,Very Sexy,February,10ml,Fruity,Her,All Seasons,1,8.17,40.18,100,178
2,Stronger With You,January,100ml,Fresh,Him,All Seasons,1,24.68,337.88,600,79
7,Imperial Valley,September,5ml,Oriental,Him,Summer,1,9.37,28.37,50,230
5,One Million,June,3ml,Woody,Him,All Seasons,1,4.63,19.24,30,100
18,Marshmallow,November,3ml,Fruity,Unisex,Winter,1,18.82,17.6,30,288
1,Le Male Elixir,June,30ml,Oriental,Him,Winter,0,2.83,183.7,300,37
5,One Million,July,50ml,Woody,Him,All Seasons,1,11.11,210.95,450,68
15,Coconut Vanille,January,15ml,Musk,Unisex,Summer,0,20.99,82.82,130,97
17,Yara Candy,December,10ml,Fruity,Her,Summer,0,5.3,64.34,100,49
13,Black Opium,April,5ml,Oriental,Him,Winter,0,2.7,23.94,50,21
21,Musk Pink,June,3ml,Fruity,Her,Summer,1,14.6,19.47,30,278
