OrderId,ProductID,Name,Month,BottleSize,Category,Gender,Season,SoldInSeason,DiscountPercent,CostPerBottle,SellingPrice,QuantitySold
68,18,Marshmallow,September,30ml,Fruity,Unisex,Winter,0,50.0,150,300,6
69,19,Good Girl,June,20ml,Oriental,Her,All Seasons,1,20.0,45,200,6
70,11,Lacoste White,November,100ml,Woody,Him,Summer,0,20.0,350,600,1
71,18,Marshmallow,June,30ml,Fruity,Unisex,Winter,0,50.0,150,300,5
72,7,Imperial Valley,December,10ml,Oriental,Him,Summer,0,60.0,30,100,4
73,2,Stronger With You,December,100ml,Fresh,Him,All Seasons,1,60.0,350,600,0
74,3,Stronger With You Intensely,June,100ml,Fresh,Him,Winter,0,10.0,350,600,2
75,11,Lacoste White,October,5ml,Woody,Him,Summer,0,60.0,20,50,1
76,22,Elixir,June,100ml,Fresh,Him,Summer,1,30.0,350,600,6
77,4,Zara Gold,November,20ml,Woody,Him,All Seasons,1,30.0,45,200,7
78,11,Lacoste White,October,10ml,Woody,Him,Summer,0,50.0,30,100,9
79,17,Yara Candy,May,5ml,Fruity,Her,Summer,1,20.0,20,50,7
80,5,One Million,April,5ml,Woody,Him,All Seasons,1,50.0,20,50,3
81,18,Marshmallow,November,5ml,Fruity,Unisex,Winter,1,60.0,20,50,5
82,8,Silver Scent,July,50ml,Oriental,Him,All Seasons,1,30.0,200,450,0
83,20,Musk Roman,September,100ml,Musk,Unisex,All Seasons,1,10.0,350,600,5
84,14,Khamra,September,100ml,Musk,Unisex,Winter,0,60.0,350,600,2
85,14,Khamra,February,30ml,Musk,Unisex,Winter,1,30.0,150,300,8
86,5,One Million,March,10ml,Woody,Him,All Seasons,1,50.0,30,100,4
87,12,Spicebomb,November,100ml,Woody,Him,Winter,1,10.0,350,600,1
88,21,Musk Pink,April,100ml,Fruity,Her,Summer,0,30.0,350,600,3
89,1,Le Male Elixir,November,20ml,Oriental,Him,Winter,1,50.0,45,200,8
90,19,Good Girl,May,10ml,Oriental,Her,All Seasons,1,50.0,30,100,14
91,12,Spicebomb,November,100ml,Woody,Him,Winter,1,10.0,350,600,5
92,18,Marshmallow,July,20ml,Fruity,Unisex,Winter,0,50.0,45,200,3
93,16,Very Sexy,February,30ml,Fruity,Her,All Seasons,1,20.0,150,300,4
94,11,Lacoste White,April,100ml,Woody,Him,Summer,0,20.0,350,600,2
95,8,Silver Scent,December,5ml,Oriental,Him,All Seasons,1,50.0,20,50,4
96,16,Very Sexy,March,10ml,Fruity,Her,All Seasons,1,60.0,30,100,13
97,4,Zara Gold,March,10ml,Woody,Him,All Seasons,1,30.0,30,100,4
98,15,Coconut Vanille,February,50ml,Musk,Unisex,Summer,0,50.0,200,450,1
99,3,Stronger With You Intensely,August,5ml,Fresh,Him,Winter,0,50.0,20,50,2
100,16,Very Sexy,October,5ml,Fruity,Her,All Seasons,1,30.0,20,50,1
101,16,Very Sexy,December,10ml,Fruity,Her,All Seasons,1,60.0,30,100,5
102,3,Stronger With You Intensely,November,20ml,Fresh,Him,Winter,1,50.0,45,200,15
103,19,Good Girl,November,50ml,Oriental,Her,All Seasons,1,30.0,200,450,3
104,10,Invictus,November,100ml,Oriental,Him,Summer,0,50.0,350,600,2
105,19,Good Girl,July,30ml,Oriental,Her,All Seasons,1,50.0,150,300,3
106,1,Le Male Elixir,October,10ml,Oriental,Him,Winter,0,50.0,30,100,6
107,5,One Million,August,30ml,Woody,Him,All Seasons,1,60.0,150,300,10
108,12,Spicebomb,February,50ml,Woody,Him,Winter,1,50.0,200,450,5
109,5,One Million,January,5ml,Woody,Him,All Seasons,1,50.0,20,50,3
110,8,Silver Scent,February,100ml,Oriental,Him,All Seasons,1,60.0,350,600,0
111,16,Very Sexy,May,30ml,Fruity,Her,All Seasons,1,20.0,150,300,2
112,4,Zara Gold,June,50ml,Woody,Him,All Seasons,1,10.0,200,450,2
113,17,Yara Candy,August,5ml,Fruity,Her,Summer,1,20.0,20,50,4
114,3,Stronger With You Intensely,July,100ml,Fresh,Him,Winter,0,10.0,350,600,1
115,5,One Million,May,100ml,Woody,Him,All Seasons,1,30.0,350,600,1
116,15,Coconut Vanille,September,100ml,Musk,Unisex,Summer,1,60.0,350,600,4
117,20,Musk Roman,November,30ml,Musk,Unisex,All Seasons,1,10.0,150,300,7
118,5,One Million,March,5ml,Woody,Him,All Seasons,1,50.0,20,50,8
119,8,Silver Scent,April,20ml,Oriental,Him,All Seasons,1,10.0,45,200,1
120,23,Moon Sparkle,December,30ml,Gourmand,Her,Summer,0,20.0,150,300,0
121,24,Ultra Male,December,20ml,Oriental,Him,Winter,1,60.0,45,200,4
122,14,Khamra,April,20ml,Musk,Unisex,Winter,0,60.0,45,200,3
123,11,Lacoste White,July,20ml,Woody,Him,Summer,1,20.0,45,200,9
124,9,Black XS L'exces,July,50ml,Oriental,Him,Summer,1,20.0,200,450,1
125,15,Coconut Vanille,August,30ml,Musk,Unisex,Summer,1,20.0,150,300,9
126,15,Coconut Vanille,November,50ml,Musk,Unisex,Summer,0,50.0,200,450,5
127,8,Silver Scent,February,5ml,Oriental,Him,All Seasons,1,50.0,20,50,5
128,1,Le Male Elixir,July,10ml,Oriental,Him,Winter,0,50.0,30,100,3
129,4,Zara Gold,March,100ml,Woody,Him,All Seasons,1,60.0,350,600,2
130,24,Ultra Male,October,50ml,Oriental,Him,Winter,0,20.0,200,450,0
131,11,Lacoste White,August,50ml,Woody,Him,Summer,1,30.0,200,450,1
132,12,Spicebomb,September,20ml,Woody,Him,Winter,0,10.0,45,200,2
133,12,Spicebomb,November,20ml,Woody,Him,Winter,1,10.0,45,200,4
134,19,Good Girl,October,30ml,Oriental,Her,All Seasons,1,50.0,150,300,3
135,2,Stronger With You,November,50ml,Fresh,Him,All Seasons,1,30.0,200,450,5
136,2,Stronger With You,October,20ml,Fresh,Him,All Seasons,1,20.0,45,200,5
137,7,Imperial Valley,August,100ml,Oriental,Him,Summer,1,50.0,350,600,5
138,12,Spicebomb,May,20ml,Woody,Him,Winter,0,10.0,45,200,3
139,17,Yara Candy,May,10ml,Fruity,Her,Summer,1,50.0,30,100,5
140,12,Spicebomb,May,50ml,Woody,Him,Winter,0,50.0,200,450,3
141,11,Lacoste White,August,50ml,Woody,Him,Summer,1,30.0,200,450,8
142,23,Moon Sparkle,October,30ml,Gourmand,Her,Summer,0,20.0,150,300,1
143,4,Zara Gold,May,100ml,Woody,Him,All Seasons,1,60.0,350,600,4
144,14,Khamra,July,100ml,Musk,Unisex,Winter,0,60.0,350,600,2
145,14,Khamra,May,10ml,Musk,Unisex,Winter,0,50.0,30,100,1
146,12,Spicebomb,August,50ml,Woody,Him,Winter,0,50.0,200,450,2
147,20,Musk Roman,October,50ml,Musk,Unisex,All Seasons,1,20.0,200,450,7
148,7,Imperial Valley,May,100ml,Oriental,Him,Summer,1,50.0,350,600,3
149,23,Moon Sparkle,May,30ml,Gourmand,Her,Summer,1,20.0,150,300,7
150,8,Silver Scent,March,50ml,Oriental,Him,All Seasons,1,30.0,200,450,4
151,14,Khamra,June,50ml,Musk,Unisex,Winter,0,10.0,200,450,6
152,13,Black Opium,June,100ml,Oriental,Him,Winter,0,20.0,350,600,0
153,21,Musk Pink,February,10ml,Fruity,Her,Summer,0,50.0,30,100,3
154,11,Lacoste White,December,5ml,Woody,Him,Summer,0,60.0,20,50,1
155,7,Imperial Valley,November,50ml,Oriental,Him,Summer,0,10.0,200,450,0
156,1,Le Male Elixir,April,30ml,Oriental,Him,Winter,0,30.0,150,300,1
157,9,Black XS L'exces,December,100ml,Oriental,Him,Summer,0,30.0,350,600,2
158,20,Musk Roman,April,5ml,Musk,Unisex,All Seasons,1,30.0,20,50,1
159,1,Le Male Elixir,June,5ml,Oriental,Him,Winter,0,10.0,20,50,3
160,22,Elixir,February,20ml,Fresh,Him,Summer,0,30.0,45,200,2
161,14,Khamra,August,30ml,Musk,Unisex,Winter,0,30.0,150,300,2
162,4,Zara Gold,June,100ml,Woody,Him,All Seasons,1,60.0,350,600,3
163,8,Silver Scent,April,50ml,Oriental,Him,All Seasons,1,30.0,200,450,7
164,14,Khamra,April,50ml,Musk,Unisex,Winter,0,10.0,200,450,1
165,8,Silver Scent,December,20ml,Oriental,Him,All Seasons,1,10.0,45,200,1
166,3,Stronger With You Intensely,September,30ml,Fresh,Him,Winter,0,50.0,150,300,3
167,16,Very Sexy,February,5ml,Fruity,Her,All Seasons,1,30.0,20,50,10
168,17,Yara Candy,February,50ml,Fruity,Her,Summer,0,60.0,200,450,3
169,3,Stronger With You Intensely,January,5ml,Fresh,Him,Winter,1,50.0,20,50,11
170,7,Imperial Valley,March,10ml,Oriental,Him,Summer,0,60.0,30,100,2
171,6,Oud,September,5ml,Musk,Unisex,Winter,0,30.0,20,50,5
172,16,Very Sexy,January,100ml,Fruity,Her,All Seasons,1,20.0,350,600,7
173,18,Marshmallow,March,10ml,Fruity,Unisex,Winter,1,10.0,30,100,7
174,18,Marshmallow,January,10ml,Fruity,Unisex,Winter,1,10.0,30,100,1
175,23,Moon Sparkle,August,100ml,Gourmand,Her,Summer,1,10.0,350,600,1
176,19,Good Girl,October,10ml,Oriental,Her,All Seasons,1,50.0,30,100,15
177,8,Silver Scent,July,30ml,Oriental,Him,All Seasons,1,60.0,150,300,5
178,3,Stronger With You Intensely,November,5ml,Fresh,Him,Winter,1,50.0,20,50,6
179,15,Coconut Vanille,September,20ml,Musk,Unisex,Summer,1,10.0,45,200,0
180,22,Elixir,October,100ml,Fresh,Him,Summer,0,30.0,350,600,4
181,24,Ultra Male,April,10ml,Oriental,Him,Winter,0,30.0,30,100,3
182,6,Oud,November,20ml,Musk,Unisex,Winter,1,10.0,45,200,4
183,6,Oud,August,100ml,Musk,Unisex,Winter,0,10.0,350,600,0
184,1,Le Male Elixir,February,30ml,Oriental,Him,Winter,1,30.0,150,300,6
185,4,Zara Gold,January,100ml,Woody,Him,All Seasons,1,60.0,350,600,6
186,14,Khamra,November,20ml,Musk,Unisex,Winter,1,60.0,45,200,11
187,14,Khamra,April,10ml,Musk,Unisex,Winter,0,50.0,30,100,1
188,9,Black XS L'exces,June,5ml,Oriental,Him,Summer,1,50.0,20,50,6
189,8,Silver Scent,October,20ml,Oriental,Him,All Seasons,1,10.0,45,200,10
190,20,Musk Roman,October,5ml,Musk,Unisex,All Seasons,1,30.0,20,50,10
191,12,Spicebomb,January,30ml,Woody,Him,Winter,1,30.0,150,300,1
192,20,Musk Roman,August,5ml,Musk,Unisex,All Seasons,1,30.0,20,50,3
193,24,Ultra Male,November,5ml,Oriental,Him,Winter,1,20.0,20,50,4
194,8,Silver Scent,May,30ml,Oriental,Him,All Seasons,1,60.0,150,300,0
195,5,One Million,July,30ml,Woody,Him,All Seasons,1,60.0,150,300,4
196,23,Moon Sparkle,April,10ml,Gourmand,Her,Summer,0,30.0,30,100,2
197,16,Very Sexy,September,50ml,Fruity,Her,All Seasons,1,60.0,200,450,6
198,7,Imperial Valley,February,20ml,Oriental,Him,Summer,0,20.0,45,200,7
199,15,Coconut Vanille,July,10ml,Musk,Unisex,Summer,1,50.0,30,100,9
200,13,Black Opium,May,20ml,Oriental,Him,Winter,0,50.0,45,200,2
201,22,Elixir,August,100ml,Fresh,Him,Summer,1,30.0,350,600,3
202,7,Imperial Valley,June,30ml,Oriental,Him,Summer,1,50.0,150,300,3
203,24,Ultra Male,December,100ml,Oriental,Him,Winter,1,30.0,350,600,4
204,23,Moon Sparkle,December,100ml,Gourmand,Her,Summer,0,10.0,350,600,1
205,5,One Million,April,10ml,Woody,Him,All Seasons,1,50.0,30,100,4
206,4,Zara Gold,January,5ml,Woody,Him,All Seasons,1,60.0,20,50,8
207,13,Black Opium,June,50ml,Oriental,Him,Winter,0,20.0,200,450,3
208,2,Stronger With You,August,20ml,Fresh,Him,All Seasons,1,20.0,45,200,6
209,8,Silver Scent,October,20ml,Oriental,Him,All Seasons,1,10.0,45,200,4
210,11,Lacoste White,July,5ml,Woody,Him,Summer,1,60.0,20,50,5
211,24,Ultra Male,August,5ml,Oriental,Him,Winter,0,20.0,20,50,3
212,24,Ultra Male,January,100ml,Oriental,Him,Winter,1,30.0,350,600,8
213,4,Zara Gold,October,5ml,Woody,Him,All Seasons,1,60.0,20,50,6
214,22,Elixir,April,100ml,Fresh,Him,Summer,0,30.0,350,600,0
215,3,Stronger With You Intensely,May,10ml,Fresh,Him,Winter,0,50.0,30,100,3
216,18,Marshmallow,June,5ml,Fruity,Unisex,Winter,0,60.0,20,50,7
217,21,Musk Pink,January,30ml,Fruity,Her,Summer,0,30.0,150,300,5
218,22,Elixir,June,5ml,Fresh,Him,Summer,1,10.0,20,50,3
219,6,Oud,May,10ml,Musk,Unisex,Winter,0,20.0,30,100,12
220,22,Elixir,March,5ml,Fresh,Him,Summer,0,10.0,20,50,3
221,3,Stronger With You Intensely,March,5ml,Fresh,Him,Winter,1,50.0,20,50,3
222,13,Black Opium,January,5ml,Oriental,Him,Winter,1,30.0,20,50,8
223,12,Spicebomb,November,100ml,Woody,Him,Winter,1,10.0,350,600,5
224,8,Silver Scent,April,5ml,Oriental,Him,All Seasons,1,50.0,20,50,8
225,1,Le Male Elixir,November,10ml,Oriental,Him,Winter,1,50.0,30,100,5
226,19,Good Girl,November,5ml,Oriental,Her,All Seasons,1,30.0,20,50,8
227,9,Black XS L'exces,June,5ml,Oriental,Him,Summer,1,50.0,20,50,3
228,16,Very Sexy,October,5ml,Fruity,Her,All Seasons,1,30.0,20,50,2
229,10,Invictus,March,5ml,Oriental,Him,Summer,0,30.0,20,50,2
230,9,Black XS L'exces,March,5ml,Oriental,Him,Summer,0,50.0,20,50,3
231,22,Elixir,November,20ml,Fresh,Him,Summer,0,30.0,45,200,1
232,3,Stronger With You Intensely,August,20ml,Fresh,Him,Winter,0,50.0,45,200,0
233,18,Marshmallow,September,10ml,Fruity,Unisex,Winter,0,10.0,30,100,6
234,18,Marshmallow,December,10ml,Fruity,Unisex,Winter,1,10.0,30,100,3
235,10,Invictus,January,20ml,Oriental,Him,Summer,0,30.0,45,200,3
236,7,Imperial Valley,March,20ml,Oriental,Him,Summer,0,20.0,45,200,2
237,1,Le Male Elixir,December,5ml,Oriental,Him,Winter,1,10.0,20,50,2
238,23,Moon Sparkle,February,100ml,Gourmand,Her,Summer,0,10.0,350,600,1
239,23,Moon Sparkle,June,20ml,Gourmand,Her,Summer,1,50.0,45,200,7
240,6,Oud,January,20ml,Musk,Unisex,Winter,1,10.0,45,200,8
241,1,Le Male Elixir,April,30ml,Oriental,Him,Winter,0,30.0,150,300,2
242,3,Stronger With You Intensely,March,10ml,Fresh,Him,Winter,1,50.0,30,100,11
243,2,Stronger With You,April,30ml,Fresh,Him,All Seasons,1,10.0,150,300,8
244,20,Musk Roman,October,100ml,Musk,Unisex,All Seasons,1,10.0,350,600,3
245,22,Elixir,April,100ml,Fresh,Him,Summer,0,30.0,350,600,1
246,4,Zara Gold,October,10ml,Woody,Him,All Seasons,1,30.0,30,100,11
247,18,Marshmallow,November,5ml,Fruity,Unisex,Winter,1,60.0,20,50,7
248,5,One Million,July,5ml,Woody,Him,All Seasons,1,50.0,20,50,10
249,9,Black XS L'exces,July,10ml,Oriental,Him,Summer,1,50.0,30,100,1
250,15,Coconut Vanille,May,30ml,Musk,Unisex,Summer,1,20.0,150,300,1
251,18,Marshmallow,September,20ml,Fruity,Unisex,Winter,0,50.0,45,200,2
252,21,Musk Pink,October,10ml,Fruity,Her,Summer,0,50.0,30,100,3
253,2,Stronger With You,November,10ml,Fresh,Him,All Seasons,1,50.0,30,100,7
254,5,One Million,March,30ml,Woody,Him,All Seasons,1,60.0,150,300,4
255,7,Imperial Valley,September,100ml,Oriental,Him,Summer,1,50.0,350,600,3
256,8,Silver Scent,February,50ml,Oriental,Him,All Seasons,1,30.0,200,450,1
257,24,Ultra Male,June,10ml,Oriental,Him,Winter,0,30.0,30,100,4
258,19,Good Girl,February,30ml,Oriental,Her,All Seasons,1,50.0,150,300,8
259,8,Silver Scent,July,30ml,Oriental,Him,All Seasons,1,60.0,150,300,5
260,24,Ultra Male,November,50ml,Oriental,Him,Winter,1,20.0,200,450,0
261,12,Spicebomb,October,20ml,Woody,Him,Winter,0,10.0,45,200,2
262,13,Black Opium,September,20ml,Oriental,Him,Winter,0,50.0,45,200,1
263,11,Lacoste White,July,20ml,Woody,Him,Summer,1,20.0,45,200,11
264,4,Zara Gold,August,10ml,Woody,Him,All Seasons,1,30.0,30,100,12
265,23,Moon Sparkle,February,100ml,Gourmand,Her,Summer,0,10.0,350,600,0
266,1,Le Male Elixir,September,20ml,Oriental,Him,Winter,0,50.0,45,200,0
267,5,One Million,September,100ml,Woody,Him,All Seasons,1,30.0,350,600,8
268,6,Oud,February,20ml,Musk,Unisex,Winter,1,10.0,45,200,10
269,7,Imperial Valley,August,50ml,Oriental,Him,Summer,1,10.0,200,450,6
270,4,Zara Gold,May,50ml,Woody,Him,All Seasons,1,10.0,200,450,3
271,1,Le Male Elixir,July,50ml,Oriental,Him,Winter,0,30.0,200,450,2
272,17,Yara Candy,October,50ml,Fruity,Her,Summer,0,60.0,200,450,2
273,24,Ultra Male,April,50ml,Oriental,Him,Winter,0,20.0,200,450,4
274,3,Stronger With You Intensely,December,10ml,Fresh,Him,Winter,1,50.0,30,100,15
275,8,Silver Scent,June,5ml,Oriental,Him,All Seasons,1,50.0,20,50,13
276,13,Black Opium,July,100ml,Oriental,Him,Winter,0,20.0,350,600,0
277,23,Moon Sparkle,January,100ml,Gourmand,Her,Summer,0,10.0,350,600,1
278,17,Yara Candy,February,10ml,Fruity,Her,Summer,0,50.0,30,100,3
279,19,Good Girl,April,5ml,Oriental,Her,All Seasons,1,30.0,20,50,5
280,14,Khamra,December,100ml,Musk,Unisex,Winter,1,60.0,350,600,1
281,11,Lacoste White,April,5ml,Woody,Him,Summer,0,60.0,20,50,3
282,5,One Million,May,5ml,Woody,Him,All Seasons,1,50.0,20,50,15
283,21,Musk Pink,November,100ml,Fruity,Her,Summer,0,30.0,350,600,4
284,20,Musk Roman,April,50ml,Musk,Unisex,All Seasons,1,20.0,200,450,8
285,1,Le Male Elixir,October,30ml,Oriental,Him,Winter,0,30.0,150,300,4
286,18,Marshmallow,February,30ml,Fruity,Unisex,Winter,1,50.0,150,300,8
287,3,Stronger With You Intensely,February,50ml,Fresh,Him,Winter,1,30.0,200,450,0
288,18,Marshmallow,January,30ml,Fruity,Unisex,Winter,1,50.0,150,300,0
289,20,Musk Roman,February,50ml,Musk,Unisex,All Seasons,1,20.0,200,450,5
290,4,Zara Gold,August,50ml,Woody,Him,All Seasons,1,10.0,200,450,0
291,11,Lacoste White,February,10ml,Woody,Him,Summer,0,50.0,30,100,3
292,3,Stronger With You Intensely,August,30ml,Fresh,Him,Winter,0,50.0,150,300,2
293,14,Khamra,August,10ml,Musk,Unisex,Winter,0,50.0,30,100,12
294,23,Moon Sparkle,March,30ml,Gourmand,Her,Summer,0,20.0,150,300,0
295,2,Stronger With You,January,10ml,Fresh,Him,All Seasons,1,50.0,30,100,4
296,10,Invictus,February,100ml,Oriental,Him,Summer,0,50.0,350,600,6
297,24,Ultra Male,February,10ml,Oriental,Him,Winter,1,30.0,30,100,13
298,8,Silver Scent,July,10ml,Oriental,Him,All Seasons,1,20.0,30,100,0
299,4,Zara Gold,December,5ml,Woody,Him,All Seasons,1,60.0,20,50,9
300,12,Spicebomb,June,30ml,Woody,Him,Winter,0,30.0,150,300,0
301,13,Black Opium,August,20ml,Oriental,Him,Winter,0,50.0,45,200,5
302,16,Very Sexy,April,50ml,Fruity,Her,All Seasons,1,60.0,200,450,2
303,8,Silver Scent,February,20ml,Oriental,Him,All Seasons,1,10.0,45,200,2
304,23,Moon Sparkle,March,10ml,Gourmand,Her,Summer,0,30.0,30,100,3
305,13,Black Opium,June,10ml,Oriental,Him,Winter,0,10.0,30,100,3
306,7,Imperial Valley,November,10ml,Oriental,Him,Summer,0,60.0,30,100,0
307,24,Ultra Male,March,50ml,Oriental,Him,Winter,1,20.0,200,450,0
308,23,Moon Sparkle,December,5ml,Gourmand,Her,Summer,0,10.0,20,50,7
309,12,Spicebomb,August,100ml,Woody,Him,Winter,0,10.0,350,600,2
310,1,Le Male Elixir,May,10ml,Oriental,Him,Winter,0,50.0,30,100,2
311,15,Coconut Vanille,August,5ml,Musk,Unisex,Summer,1,50.0,20,50,4
312,14,Khamra,September,30ml,Musk,Unisex,Winter,0,30.0,150,300,5
313,4,Zara Gold,September,50ml,Woody,Him,All Seasons,1,10.0,200,450,7
314,16,Very Sexy,November,30ml,Fruity,Her,All Seasons,1,20.0,150,300,3
315,21,Musk Pink,August,20ml,Fruity,Her,Summer,1,50.0,45,200,2
316,3,Stronger With You Intensely,January,10ml,Fresh,Him,Winter,1,50.0,30,100,7
317,18,Marshmallow,May,100ml,Fruity,Unisex,Winter,0,50.0,350,600,3
318,4,Zara Gold,November,20ml,Woody,Him,All Seasons,1,30.0,45,200,2
319,18,Marshmallow,March,20ml,Fruity,Unisex,Winter,1,50.0,45,200,9
320,11,Lacoste White,June,10ml,Woody,Him,Summer,1,50.0,30,100,15
321,1,Le Male Elixir,July,50ml,Oriental,Him,Winter,0,30.0,200,450,1
322,24,Ultra Male,July,100ml,Oriental,Him,Winter,0,30.0,350,600,0
323,4,Zara Gold,November,30ml,Woody,Him,All Seasons,1,20.0,150,300,2
324,15,Coconut Vanille,July,50ml,Musk,Unisex,Summer,1,50.0,200,450,1
325,5,One Million,January,50ml,Woody,Him,All Seasons,1,30.0,200,450,0
326,23,Moon Sparkle,March,10ml,Gourmand,Her,Summer,0,30.0,30,100,6
327,18,Marshmallow,August,20ml,Fruity,Unisex,Winter,0,50.0,45,200,0
328,20,Musk Roman,October,10ml,Musk,Unisex,All Seasons,1,30.0,30,100,11
329,11,Lacoste White,August,20ml,Woody,Him,Summer,1,20.0,45,200,2
330,12,Spicebomb,September,100ml,Woody,Him,Winter,0,10.0,350,600,2
331,16,Very Sexy,March,50ml,Fruity,Her,All Seasons,1,60.0,200,450,9
