TransactionID,PurchaseDate,PurchaseYear,PurchaseMonth,CustomerID,CustomerGovernorate,ProductID,ProductName,ProductBrand,ScentCategory,TargetGender,RecommendedSeason,BottleSize,OriginalUnitPrice_EGP,QuantityPurchased,IsPromotionApplied,DiscountPercent,DiscountedUnitPrice_EGP,TotalSaleAmount_EGP,CostToPriceRatio,TotalCostAmount_EGP,NetProfitAmount_EGP,PaymentStatus,CustomerRating
50,2023-01-01,2023,1,335,Zagazig,40,Lumière 40,Aurum Scents,Fruity,Unisex,Summer,15ml,130,3,0,0.0,130.0,390.0,0.376,146.59,243.41,Paid,
51,2023-01-01,2023,1,3854,Tanta,18,Aurum 18,Velour House,Citrus,Male,AllSeasons,3ml,30,4,0,0.0,30.0,120.0,0.363,43.56,76.44,Paid,
52,2023-01-01,2023,1,3326,Assiut,6,Midnight 06,Amber & Co,Fruity,Male,AllSeasons,3ml,30,1,0,0.0,30.0,30.0,0.355,10.64,19.36,Paid,
53,2023-01-01,2023,1,2565,Zagazig,10,Desert 10,Aurum Scents,Fruity,Male,AllSeasons,50ml,450,1,0,0.0,450.0,450.0,0.388,174.76,275.24,Paid,
54,2023-01-01,2023,1,3960,Alexandria,2,Lumière 02,Velour House,Floral,Female,AllSeasons,10ml,100,1,0,0.0,100.0,100.0,0.391,39.11,60.89,Pending,
55,2023-01-02,2023,1,1257,Ismailia,28,Amber 28,Velour House,Musk,Unisex,Winter,3ml,30,1,0,0.0,30.0,30.0,0.38,11.39,18.61,Paid,
56,2023-01-02,2023,1,3198,Minya,22,Elxair 22,Lumière Paris-Style,Oriental,Unisex,Winter,3ml,30,1,0,0.0,30.0,30.0,0.442,13.27,16.73,Paid,
57,2023-01-02,2023,1,3583,Minya,14,Amber 14,Nile Essence,Floral,Unisex,Summer,10ml,100,2,0,0.0,100.0,200.0,0.385,76.99,123.01,Paid,5.0
58,2023-01-02,2023,1,2347,Qena,31,Silk 31,Midnight Bloom,Citrus,Female,Summer,30ml,300,1,0,0.0,300.0,300.0,0.355,106.59,193.41,Paid,
59,2023-01-02,2023,1,2969,Mansoura,5,Rosewood 05,Aurum Scents,Woody,Unisex,Summer,10ml,100,1,0,0.0,100.0,100.0,0.432,43.22,56.78,Paid,5.0
60,2023-01-02,2023,1,3380,Alexandria,31,Silk 31,Midnight Bloom,Citrus,Female,Summer,30ml,300,1,0,0.0,300.0,300.0,0.362,108.62,191.38,Paid,4.0
61,2023-01-02,2023,1,1494,Tanta,32,Amber 32,Silk Route,Woody,Male,AllSeasons,10ml,100,2,0,0.0,100.0,200.0,0.424,84.85,115.15,Paid,
62,2023-01-02,2023,1,3429,Cairo,27,Midnight 27,Desert Oud,Fruity,Unisex,Summer,10ml,100,1,0,0.0,100.0,100.0,0.438,43.77,56.23,Paid,
63,2023-01-02,2023,1,3501,Luxor,31,Silk 31,Midnight Bloom,Citrus,Female,Summer,10ml,100,1,0,0.0,100.0,100.0,0.377,37.69,62.31,Paid,3.0
64,2023-01-02,2023,1,3090,Alexandria,30,Lumière 30,Aurum Scents,Floral,Female,AllSeasons,30ml,300,1,0,0.0,300.0,300.0,0.445,133.57,166.43,Paid,
65,2023-01-02,2023,1,2747,Qena,24,Nile 24,Rosewood Atelier,Floral,Male,Summer,15ml,130,1,0,0.0,130.0,130.0,0.38,49.42,80.58,Paid,4.0
66,2023-01-02,2023,1,3017,Aswan,21,Desert 21,Midnight Bloom,Musk,Unisex,AllSeasons,30ml,300,1,0,0.0,300.0,300.0,0.447,134.12,165.88,Refunded,
67,2023-01-02,2023,1,2852,Damietta,23,Midnight 23,Aurum Scents,Oriental,Male,Summer,5ml,50,2,0,0.0,50.0,100.0,0.439,43.92,56.08,Paid,
68,2023-01-02,2023,1,3254,Zagazig,33,Desert 33,Silk Route,Fruity,Male,Winter,100ml,600,2,0,0.0,600.0,1200.0,0.381,457.06,742.94,Paid,3.0
69,2023-01-02,2023,1,19,Zagazig,4,Desert 04,Rosewood Atelier,Citrus,Female,Summer,3ml,30,1,1,24.2,22.74,22.74,0.39,11.7,11.04,Refunded,5.0
70,2023-01-02,2023,1,3197,Port Said,28,Amber 28,Velour House,Musk,Unisex,Winter,3ml,30,3,0,0.0,30.0,90.0,0.367,33.03,56.97,Paid,
71,2023-01-02,2023,1,2696,Cairo,31,Silk 31,Midnight Bloom,Citrus,Female,Summer,15ml,130,1,0,0.0,130.0,130.0,0.402,52.29,77.71,Refunded,
72,2023-01-02,2023,1,286,Zagazig,44,Silk 44,Aurum Scents,Citrus,Male,Winter,15ml,130,1,0,0.0,130.0,130.0,0.357,46.43,83.57,Paid,
73,2023-01-02,2023,1,392,Beni Suef,45,Midnight 45,Amber & Co,Oriental,Male,Summer,30ml,300,2,0,0.0,300.0,600.0,0.418,251.1,348.9,Paid,
74,2023-01-02,2023,1,2434,Giza,19,Nile 19,Midnight Bloom,Oriental,Unisex,Winter,3ml,30,1,0,0.0,30.0,30.0,0.4,11.99,18.01,Paid,
75,2023-01-02,2023,1,238,Damietta,28,Amber 28,Velour House,Musk,Unisex,Winter,10ml,100,2,0,0.0,100.0,200.0,0.435,86.91,113.09,Paid,
76,2023-01-02,2023,1,2913,Beni Suef,43,Midnight 43,Elxair Noir,Fresh,Female,Winter,30ml,300,1,0,0.0,300.0,300.0,0.41,122.91,177.09,Pending,
77,2023-01-02,2023,1,2613,Alexandria,22,Elxair 22,Lumière Paris-Style,Oriental,Unisex,Winter,10ml,100,1,0,0.0,100.0,100.0,0.445,44.51,55.49,Paid,3.0
78,2023-01-02,2023,1,991,Minya,9,Aurum 09,Velour House,Fresh,Male,Winter,100ml,600,2,0,0.0,600.0,1200.0,0.442,529.99,670.01,Paid,
79,2023-01-02,2023,1,3055,Beni Suef,43,Midnight 43,Elxair Noir,Fresh,Female,Winter,10ml,100,1,0,0.0,100.0,100.0,0.396,39.65,60.35,Paid,
80,2023-01-02,2023,1,499,Luxor,38,Rosewood 38,Aurum Scents,Floral,Female,AllSeasons,30ml,300,2,0,0.0,300.0,600.0,0.381,228.53,371.47,Paid,4.0
81,2023-01-02,2023,1,1258,Cairo,11,Lumière 11,Lumière Paris-Style,Floral,Male,Summer,10ml,100,1,0,0.0,100.0,100.0,0.369,36.95,63.05,Paid,
82,2023-01-02,2023,1,3213,Giza,9,Aurum 09,Velour House,Fresh,Male,Winter,3ml,30,1,1,17.4,24.78,24.78,0.402,12.06,12.72,Paid,
83,2023-01-02,2023,1,2219,Aswan,6,Midnight 06,Amber & Co,Fruity,Male,AllSeasons,30ml,300,1,0,0.0,300.0,300.0,0.437,130.99,169.01,Paid,4.0
84,2023-01-02,2023,1,3396,Fayoum,14,Amber 14,Nile Essence,Floral,Unisex,Summer,10ml,100,1,0,0.0,100.0,100.0,0.355,35.45,64.55,Paid,
85,2023-01-02,2023,1,263,Ismailia,28,Amber 28,Velour House,Musk,Unisex,Winter,10ml,100,1,0,0.0,100.0,100.0,0.366,36.59,63.41,Paid,
86,2023-01-02,2023,1,2422,Aswan,20,Velour 20,Velour House,Fresh,Female,Summer,5ml,50,1,1,22.1,38.95,38.95,0.373,18.66,20.29,Paid,
87,2023-01-02,2023,1,2132,Zagazig,28,Amber 28,Velour House,Musk,Unisex,Winter,5ml,50,2,0,0.0,50.0,100.0,0.43,42.99,57.01,Paid,4.0
88,2023-01-02,2023,1,2421,Cairo,21,Desert 21,Midnight Bloom,Musk,Unisex,AllSeasons,10ml,100,1,0,0.0,100.0,100.0,0.434,43.4,56.6,Paid,4.0
89,2023-01-02,2023,1,1277,Sohag,40,Lumière 40,Aurum Scents,Fruity,Unisex,Summer,3ml,30,1,0,0.0,30.0,30.0,0.353,10.59,19.41,Paid,
90,2023-01-02,2023,1,438,Port Said,12,Aurum 12,Velour House,Fresh,Male,AllSeasons,5ml,50,1,0,0.0,50.0,50.0,0.412,20.59,29.41,Paid,
91,2023-01-02,2023,1,518,Giza,45,Midnight 45,Amber & Co,Oriental,Male,Summer,5ml,50,1,0,0.0,50.0,50.0,0.411,20.55,29.45,Paid,
92,2023-01-02,2023,1,1475,Tanta,16,Desert 16,Lumière Paris-Style,Fruity,Unisex,Winter,5ml,50,1,0,0.0,50.0,50.0,0.412,20.6,29.4,Paid,4.0
93,2023-01-02,2023,1,3016,Damietta,16,Desert 16,Lumière Paris-Style,Fruity,Unisex,Winter,5ml,50,1,1,10.0,45.0,45.0,0.361,18.06,26.94,Paid,5.0
94,2023-01-02,2023,1,2774,Damietta,20,Velour 20,Velour House,Fresh,Female,Summer,3ml,30,1,0,0.0,30.0,30.0,0.437,13.1,16.9,Refunded,
95,2023-01-02,2023,1,342,Aswan,40,Lumière 40,Aurum Scents,Fruity,Unisex,Summer,5ml,50,1,0,0.0,50.0,50.0,0.422,21.12,28.88,Paid,4.0
96,2023-01-02,2023,1,1226,Fayoum,20,Velour 20,Velour House,Fresh,Female,Summer,10ml,100,2,1,15.7,84.3,168.6,0.432,86.44,82.16,Paid,
97,2023-01-03,2023,1,2155,Fayoum,25,Silk 25,Silk Route,Oriental,Male,Winter,5ml,50,1,0,0.0,50.0,50.0,0.364,18.21,31.79,Paid,
98,2023-01-03,2023,1,2649,Aswan,9,Aurum 09,Velour House,Fresh,Male,Winter,5ml,50,2,0,0.0,50.0,100.0,0.366,36.6,63.4,Paid,4.0
99,2023-01-03,2023,1,3585,Giza,26,Elxair 26,Aurum Scents,Citrus,Female,AllSeasons,10ml,100,1,1,29.2,70.8,70.8,0.379,37.92,32.88,Paid,
100,2023-01-03,2023,1,1034,Sohag,39,Velour 39,Elxair Noir,Fruity,Female,AllSeasons,5ml,50,1,1,22.9,38.55,38.55,0.435,21.73,16.82,Paid,
101,2023-01-03,2023,1,379,Sohag,32,Amber 32,Silk Route,Woody,Male,AllSeasons,5ml,50,1,0,0.0,50.0,50.0,0.361,18.04,31.96,Paid,
102,2023-01-03,2023,1,3112,Qena,44,Silk 44,Aurum Scents,Citrus,Male,Winter,3ml,30,2,0,0.0,30.0,60.0,0.353,21.18,38.82,Paid,
103,2023-01-03,2023,1,1112,Port Said,24,Nile 24,Rosewood Atelier,Floral,Male,Summer,10ml,100,1,0,0.0,100.0,100.0,0.36,35.97,64.03,Paid,
104,2023-01-03,2023,1,782,Luxor,15,Nile 15,Midnight Bloom,Fruity,Female,AllSeasons,5ml,50,1,0,0.0,50.0,50.0,0.383,19.16,30.84,Paid,
105,2023-01-03,2023,1,1275,Sohag,26,Elxair 26,Aurum Scents,Citrus,Female,AllSeasons,100ml,600,2,0,0.0,600.0,1200.0,0.39,467.54,732.46,Paid,
106,2023-01-03,2023,1,3986,Port Said,7,Amber 07,Elxair Noir,Woody,Female,Summer,5ml,50,1,0,0.0,50.0,50.0,0.35,17.52,32.48,Paid,4.0
107,2023-01-03,2023,1,946,Minya,37,Silk 37,Silk Route,Oriental,Female,Summer,3ml,30,2,0,0.0,30.0,60.0,0.44,26.42,33.58,Paid,
108,2023-01-03,2023,1,343,Giza,29,Rosewood 29,Desert Oud,Oriental,Male,Summer,30ml,300,1,1,19.9,240.3,240.3,0.354,106.14,134.16,Paid,
109,2023-01-03,2023,1,58,Minya,27,Midnight 27,Desert Oud,Fruity,Unisex,Summer,3ml,30,1,0,0.0,30.0,30.0,0.439,13.16,16.84,Paid,
110,2023-01-03,2023,1,2250,Alexandria,45,Midnight 45,Amber & Co,Oriental,Male,Summer,5ml,50,1,0,0.0,50.0,50.0,0.41,20.5,29.5,Paid,
111,2023-01-03,2023,1,2654,Zagazig,15,Nile 15,Midnight Bloom,Fruity,Female,AllSeasons,10ml,100,2,0,0.0,100.0,200.0,0.425,85.01,114.99,Paid,5.0
112,2023-01-03,2023,1,1651,Fayoum,5,Rosewood 05,Aurum Scents,Woody,Unisex,Summer,10ml,100,1,0,0.0,100.0,100.0,0.381,38.1,61.9,Paid,
113,2023-01-03,2023,1,2902,Fayoum,43,Midnight 43,Elxair Noir,Fresh,Female,Winter,3ml,30,1,0,0.0,30.0,30.0,0.382,11.46,18.54,Paid,
114,2023-01-03,2023,1,909,Mansoura,8,Rosewood 08,Lumière Paris-Style,Floral,Unisex,Summer,15ml,130,1,1,24.2,98.54,98.54,0.45,58.48,40.06,Paid,
115,2023-01-03,2023,1,2312,Zagazig,43,Midnight 43,Elxair Noir,Fresh,Female,Winter,30ml,300,1,0,0.0,300.0,300.0,0.373,111.83,188.17,Paid,
116,2023-01-03,2023,1,3434,Mansoura,7,Amber 07,Elxair Noir,Woody,Female,Summer,30ml,300,2,0,0.0,300.0,600.0,0.436,261.44,338.56,Paid,4.0
117,2023-01-03,2023,1,2070,Ismailia,36,Desert 36,Rosewood Atelier,Fruity,Male,Winter,5ml,50,3,0,0.0,50.0,150.0,0.372,55.85,94.15,Pending,
118,2023-01-03,2023,1,3847,Beni Suef,20,Velour 20,Velour House,Fresh,Female,Summer,5ml,50,1,1,18.2,40.9,40.9,0.366,18.3,22.6,Paid,
119,2023-01-03,2023,1,58,Zagazig,25,Silk 25,Silk Route,Oriental,Male,Winter,100ml,600,1,0,0.0,600.0,600.0,0.36,215.74,384.26,Paid,
120,2023-01-03,2023,1,3600,Luxor,32,Amber 32,Silk Route,Woody,Male,AllSeasons,5ml,50,1,0,0.0,50.0,50.0,0.446,22.31,27.69,Paid,
121,2023-01-03,2023,1,2890,Tanta,25,Silk 25,Silk Route,Oriental,Male,Winter,100ml,600,1,0,0.0,600.0,600.0,0.358,214.58,385.42,Paid,
122,2023-01-03,2023,1,2155,Tanta,29,Rosewood 29,Desert Oud,Oriental,Male,Summer,50ml,450,4,0,0.0,450.0,1800.0,0.427,769.21,1030.79,Paid,
123,2023-01-03,2023,1,336,Fayoum,44,Silk 44,Aurum Scents,Citrus,Male,Winter,3ml,30,1,0,0.0,30.0,30.0,0.357,10.71,19.29,Paid,
124,2023-01-03,2023,1,3614,Tanta,13,Aurum 13,Nile Essence,Woody,Unisex,AllSeasons,30ml,300,2,0,0.0,300.0,600.0,0.378,227.02,372.98,Paid,
125,2023-01-03,2023,1,2647,Port Said,22,Elxair 22,Lumière Paris-Style,Oriental,Unisex,Winter,50ml,450,1,0,0.0,450.0,450.0,0.415,186.86,263.14,Paid,
126,2023-01-03,2023,1,1975,Aswan,45,Midnight 45,Amber & Co,Oriental,Male,Summer,30ml,300,1,0,0.0,300.0,300.0,0.445,133.6,166.4,Paid,
127,2023-01-03,2023,1,794,Suez,10,Desert 10,Aurum Scents,Fruity,Male,AllSeasons,10ml,100,1,0,0.0,100.0,100.0,0.377,37.71,62.29,Paid,
128,2023-01-03,2023,1,2568,Beni Suef,15,Nile 15,Midnight Bloom,Fruity,Female,AllSeasons,5ml,50,2,0,0.0,50.0,100.0,0.409,40.92,59.08,Paid,
129,2023-01-03,2023,1,3552,Alexandria,29,Rosewood 29,Desert Oud,Oriental,Male,Summer,30ml,300,2,0,0.0,300.0,600.0,0.445,267.06,332.94,Paid,
130,2023-01-03,2023,1,1485,Luxor,34,Amber 34,Elxair Noir,Fruity,Male,AllSeasons,15ml,130,1,0,0.0,130.0,130.0,0.369,47.95,82.05,Paid,
131,2023-01-03,2023,1,342,Aswan,21,Desert 21,Midnight Bloom,Musk,Unisex,AllSeasons,30ml,300,2,0,0.0,300.0,600.0,0.41,246.11,353.89,Paid,
132,2023-01-03,2023,1,2837,Tanta,21,Desert 21,Midnight Bloom,Musk,Unisex,AllSeasons,30ml,300,2,1,25.5,223.5,447.0,0.363,218.07,228.93,Paid,5.0
133,2023-01-03,2023,1,1302,Damietta,39,Velour 39,Elxair Noir,Fruity,Female,AllSeasons,15ml,130,2,0,0.0,130.0,260.0,0.382,99.39,160.61,Paid,
134,2023-01-03,2023,1,865,Cairo,12,Aurum 12,Velour House,Fresh,Male,AllSeasons,15ml,130,2,0,0.0,130.0,260.0,0.435,113.15,146.85,Paid,
135,2023-01-04,2023,1,3628,Qena,10,Desert 10,Aurum Scents,Fruity,Male,AllSeasons,30ml,300,2,0,0.0,300.0,600.0,0.396,237.43,362.57,Paid,
136,2023-01-04,2023,1,1837,Port Said,24,Nile 24,Rosewood Atelier,Floral,Male,Summer,15ml,130,1,0,0.0,130.0,130.0,0.372,48.36,81.64,Paid,
137,2023-01-04,2023,1,3371,Damietta,28,Amber 28,Velour House,Musk,Unisex,Winter,3ml,30,1,0,0.0,30.0,30.0,0.387,11.61,18.39,Paid,
138,2023-01-04,2023,1,1144,Suez,18,Aurum 18,Velour House,Citrus,Male,AllSeasons,15ml,130,1,0,0.0,130.0,130.0,0.424,55.13,74.87,Paid,
139,2023-01-04,2023,1,696,Beni Suef,33,Desert 33,Silk Route,Fruity,Male,Winter,10ml,100,1,0,0.0,100.0,100.0,0.419,41.92,58.08,Refunded,
140,2023-01-04,2023,1,778,Port Said,14,Amber 14,Nile Essence,Floral,Unisex,Summer,5ml,50,1,1,27.1,36.45,36.45,0.386,19.31,17.14,Paid,
141,2023-01-04,2023,1,1214,Aswan,27,Midnight 27,Desert Oud,Fruity,Unisex,Summer,30ml,300,4,0,0.0,300.0,1200.0,0.43,515.78,684.22,Paid,
142,2023-01-04,2023,1,241,Luxor,37,Silk 37,Silk Route,Oriental,Female,Summer,30ml,300,1,0,0.0,300.0,300.0,0.408,122.5,177.5,Refunded,
143,2023-01-04,2023,1,1446,Ismailia,13,Aurum 13,Nile Essence,Woody,Unisex,AllSeasons,100ml,600,3,0,0.0,600.0,1800.0,0.375,675.12,1124.88,Paid,
144,2023-01-04,2023,1,473,Aswan,6,Midnight 06,Amber & Co,Fruity,Male,AllSeasons,15ml,130,1,0,0.0,130.0,130.0,0.368,47.79,82.21,Paid,
145,2023-01-04,2023,1,3803,Fayoum,27,Midnight 27,Desert Oud,Fruity,Unisex,Summer,15ml,130,2,0,0.0,130.0,260.0,0.356,92.43,167.57,Paid,
146,2023-01-04,2023,1,562,Suez,18,Aurum 18,Velour House,Citrus,Male,AllSeasons,5ml,50,1,1,22.3,38.85,38.85,0.364,18.18,20.67,Paid,5.0
147,2023-01-04,2023,1,1626,Beni Suef,5,Rosewood 05,Aurum Scents,Woody,Unisex,Summer,50ml,450,1,0,0.0,450.0,450.0,0.412,185.51,264.49,Paid,
148,2023-01-04,2023,1,286,Assiut,21,Desert 21,Midnight Bloom,Musk,Unisex,AllSeasons,10ml,100,1,0,0.0,100.0,100.0,0.394,39.42,60.58,Paid,5.0
